fold,image,slot,x,y,true_class,predicted_class,confidence,outcome
2,8db7664c4ae65a09f76ef29bf5d6eb6f_30.jpg,1,0.09934,0.61785,P01,P01,0.975595,correct
2,8db7664c4ae65a09f76ef29bf5d6eb6f_30.jpg,2,0.3821,0.64198,P02,P02,0.929469,correct
2,8db7664c4ae65a09f76ef29bf5d6eb6f_30.jpg,3,0.65095,0.58338,P06,P02,0.286823,wrong
2,97227ea9d47e84653334e1551e46f8cc_13.jpg,1,0.09668,0.59501,P05,P05,0.905268,correct
2,97227ea9d47e84653334e1551e46f8cc_13.jpg,2,0.38279,0.61479,P03,P03,0.977461,correct
2,97227ea9d47e84653334e1551e46f8cc_13.jpg,3,0.6607,0.62499,P04,P04,0.898296,correct
2,97227ea9d47e84653334e1551e46f8cc_13.jpg,4,0.91884,0.58293,P06,P06,0.261122,correct
2,c8ad745a177fd7fda840c43ec17e85ef_8.jpg,2,0.3751,0.64285,P05,P05,0.753758,correct
2,c8ad745a177fd7fda840c43ec17e85ef_8.jpg,3,0.62577,0.68817,P02,P02,0.879848,correct
2,c8ad745a177fd7fda840c43ec17e85ef_8.jpg,1,0.10867,0.66134,P03,P03,0.965081,correct
2,c8ad745a177fd7fda840c43ec17e85ef_8.jpg,4,0.90039,0.67796,P04,P04,0.859775,correct
2,d092ff0b4b389f3183b5f604f32bde3c_16.jpg,1,0.08808,0.61799,P01,P01,0.928997,correct
2,d092ff0b4b389f3183b5f604f32bde3c_16.jpg,2,0.36603,0.62564,P04,P04,0.604582,correct
2,d092ff0b4b389f3183b5f604f32bde3c_16.jpg,3,0.63442,0.64092,P02,P02,0.924277,correct
2,d092ff0b4b389f3183b5f604f32bde3c_16.jpg,4,0.91234,0.58357,P06,,,missed
2,e305f08cb575cb6c605be139421752ef_32.jpg,2,0.3826,0.61648,P01,P01,0.951014,correct
2,e305f08cb575cb6c605be139421752ef_32.jpg,3,0.65196,0.5827,P06,P02,0.330007,wrong
2,e305f08cb575cb6c605be139421752ef_32.jpg,4,0.90835,0.6282,P04,P04,0.975734,correct
2,f2152dc58c9b1ae2ad6dfaa99cfd2d8e_45.jpg,2,0.36461,0.6282,P06,P06,0.626119,correct
3,256b034f8364af0f2d932ee48812f173_42.jpg,3,0.65713,0.58476,P05,P06,0.261281,wrong
3,2e616635da2c2883a0125099ad68613a_48.jpg,1,0.10721,0.65946,P03,P03,0.963509,correct
3,3864cf784c1fac625ae5679589253bdc_19.jpg,4,0.88986,0.67027,P01,P01,0.972259,correct
3,3864cf784c1fac625ae5679589253bdc_19.jpg,1,0.10149,0.67919,P04,P04,0.966051,correct
3,3864cf784c1fac625ae5679589253bdc_19.jpg,2,0.36796,0.66011,P03,P03,0.847001,correct
3,3864cf784c1fac625ae5679589253bdc_19.jpg,3,0.62531,0.68945,P02,P02,0.753689,correct
3,47e0d1c4f08aeb9283d0fc3696ca1a76_24.jpg,1,0.10245,0.66967,P01,P01,0.476078,correct
3,47e0d1c4f08aeb9283d0fc3696ca1a76_24.jpg,4,0.88844,0.69389,P01,P02,0.372005,wrong
3,47e0d1c4f08aeb9283d0fc3696ca1a76_24.jpg,3,0.62101,0.64033,P03,P03,0.264881,correct
3,47e0d1c4f08aeb9283d0fc3696ca1a76_24.jpg,2,0.36411,0.6569,P03,P03,0.834996,correct
3,6afec710ddf827582fd7a188d0be28f1_3.jpg,1,0.10039,0.63232,P06,P06,0.959742,correct
3,6afec710ddf827582fd7a188d0be28f1_3.jpg,2,0.36658,0.67091,P04,P04,0.694455,correct
3,6afec710ddf827582fd7a188d0be28f1_3.jpg,3,0.62458,0.68748,P02,P02,0.830828,correct
3,6afec710ddf827582fd7a188d0be28f1_3.jpg,4,0.90011,0.64541,P05,P03,0.33177,wrong
3,a1e9dbe3e2b1676ed822139ddd6f2ff2_40.jpg,4,0.88986,0.69133,P04,P02,0.348706,wrong
3,a1e9dbe3e2b1676ed822139ddd6f2ff2_40.jpg,1,0.0948,0.67732,P04,P04,0.9716,correct
3,c667b810ab198c71e1b35f6510f89e70_28.jpg,4,0.90707,0.66775,P05,P01,0.973439,wrong
3,c667b810ab198c71e1b35f6510f89e70_28.jpg,3,0.632,0.64092,P05,P03,0.651016,wrong
3,c667b810ab198c71e1b35f6510f89e70_28.jpg,1,0.09911,0.66839,P03,P03,0.946636,correct
3,d576927625ff733e0920a36949a6f2fc_14.jpg,1,0.10483,0.69325,P02,P02,0.76117,correct
3,d576927625ff733e0920a36949a6f2fc_14.jpg,2,0.37034,0.67539,P06,P04,0.862836,wrong
3,d576927625ff733e0920a36949a6f2fc_14.jpg,3,0.62962,0.62948,P06,P06,0.794786,correct
3,d576927625ff733e0920a36949a6f2fc_14.jpg,4,0.89558,0.66711,P01,P01,0.982077,correct
3,de9d17844c00cc042190f79ec2e1ceff_33.jpg,1,0.09728,0.60888,P03,P03,0.950183,correct
3,de9d17844c00cc042190f79ec2e1ceff_33.jpg,3,0.65145,0.58132,P06,P06,0.403853,correct
3,de9d17844c00cc042190f79ec2e1ceff_33.jpg,4,0.90785,0.64683,P02,P02,0.708649,correct
3,ede37697e4840a7fe9c3c000ceafc106_6.jpg,1,0.09764,0.6786,P04,P04,0.969581,correct
3,ede37697e4840a7fe9c3c000ceafc106_6.jpg,4,0.89128,0.66839,P01,P01,0.966349,correct
3,ede37697e4840a7fe9c3c000ceafc106_6.jpg,2,0.36553,0.64033,P05,P03,0.432265,wrong
3,ede37697e4840a7fe9c3c000ceafc106_6.jpg,3,0.62577,0.62692,P06,P06,0.693263,correct
4,0af370001d7287fb08307e9785472761_21.jpg,3,0.64802,0.6173,P01,P01,0.551984,correct
4,0af370001d7287fb08307e9785472761_21.jpg,1,0.08588,0.61524,P03,P03,0.957294,correct
4,0af370001d7287fb08307e9785472761_21.jpg,2,0.368,0.57935,P06,P06,0.987145,correct
4,0af370001d7287fb08307e9785472761_21.jpg,4,0.92337,0.62765,P04,P04,0.433227,correct
4,0fde4084933717f6bf697caaa97a544e_4.jpg,1,0.09718,0.64221,P05,P05,0.628063,correct
4,0fde4084933717f6bf697caaa97a544e_4.jpg,2,0.36173,0.68945,P02,P02,0.371746,correct
4,0fde4084933717f6bf697caaa97a544e_4.jpg,3,0.62724,0.67219,P04,P04,0.602197,correct
4,0fde4084933717f6bf697caaa97a544e_4.jpg,4,0.88844,0.63392,P06,P06,0.986361,correct
4,2714da76cfb21d5fb4cd5c62ccf258d2_44.jpg,3,0.63392,0.66198,P01,P01,0.527561,correct
4,29e4e9540dae509f6e884e7f600e273a_12.jpg,1,0.09718,0.61991,P01,P01,0.937573,correct
4,29e4e9540dae509f6e884e7f600e273a_12.jpg,2,0.37176,0.59437,P05,P06,0.286372,wrong
4,29e4e9540dae509f6e884e7f600e273a_12.jpg,3,0.6569,0.61479,P03,P03,0.972132,correct
4,29e4e9540dae509f6e884e7f600e273a_12.jpg,4,0.92763,0.62948,P04,P04,0.295707,correct
4,5e37a08d6bdbe3cfd9ebf0a8cdc4bd3a_7.jpg,1,0.10341,0.64413,P02,P02,0.991738,correct
4,5e37a08d6bdbe3cfd9ebf0a8cdc4bd3a_7.jpg,2,0.36173,0.58036,P06,P06,0.984094,correct
4,5e37a08d6bdbe3cfd9ebf0a8cdc4bd3a_7.jpg,3,0.65594,0.59629,P05,,,missed
4,5e37a08d6bdbe3cfd9ebf0a8cdc4bd3a_7.jpg,4,0.92026,0.61799,P03,P03,0.97616,correct
4,6ccf0cc57caafa40de993dd3ab5d768f_17.jpg,1,0.09957,0.61099,P03,P03,0.97635,correct
4,6ccf0cc57caafa40de993dd3ab5d768f_17.jpg,2,0.37079,0.61735,P01,P01,0.969975,correct
4,6ccf0cc57caafa40de993dd3ab5d768f_17.jpg,4,0.91472,0.64733,P02,P02,0.997056,correct
4,6ccf0cc57caafa40de993dd3ab5d768f_17.jpg,3,0.65594,0.62756,P04,,,missed
4,a8d9b388ba5a82bfe5920bcc1536013f_31.jpg,2,0.36507,0.68881,P02,P02,0.30684,correct
4,a8d9b388ba5a82bfe5920bcc1536013f_31.jpg,3,0.62293,0.67155,P04,P04,0.43991,correct
4,a8d9b388ba5a82bfe5920bcc1536013f_31.jpg,4,0.90181,0.63392,P06,P06,0.989269,correct
4,cee396b975b8376aea41ec8b0eb0394d_47.jpg,2,0.37592,0.6206,P04,P04,0.69267,correct
4,d42ea2803a874cf0d160798caabc9c74_29.jpg,1,0.08849,0.59313,P05,P02,0.735479,wrong
4,d42ea2803a874cf0d160798caabc9c74_29.jpg,3,0.64385,0.64216,P02,P02,0.900903,correct
4,d42ea2803a874cf0d160798caabc9c74_29.jpg,4,0.92026,0.61593,P03,P03,0.980719,correct
4,d61a316d3fe309d88150215e585296e3_38.jpg,2,0.37125,0.61511,P01,P01,0.965814,correct
4,d61a316d3fe309d88150215e585296e3_38.jpg,4,0.91925,0.64541,P02,P02,0.995999,correct
5,0d02e2352a2912e1ea6a67d7c34cc6d2_18.jpg,2,0.36365,0.69389,P02,P02,0.74429,correct
5,0d02e2352a2912e1ea6a67d7c34cc6d2_18.jpg,3,0.6277,0.66075,P03,P03,0.933277,correct
5,0d02e2352a2912e1ea6a67d7c34cc6d2_18.jpg,1,0.09096,0.67219,P01,P01,0.959268,correct
5,0d02e2352a2912e1ea6a67d7c34cc6d2_18.jpg,4,0.89558,0.67984,P04,P04,0.790918,correct
5,5d7b7522b45f1890b754ac085cc9fd18_5.jpg,1,0.09288,0.6282,P04,P04,0.758652,correct
5,5d7b7522b45f1890b754ac085cc9fd18_5.jpg,2,0.37368,0.64413,P02,P02,0.422292,correct
5,5d7b7522b45f1890b754ac085cc9fd18_5.jpg,3,0.65402,0.58036,P06,P06,0.892207,correct
5,5d7b7522b45f1890b754ac085cc9fd18_5.jpg,4,0.91714,0.59437,P05,P05,0.844645,correct
5,6acd66223b4992637b0e90d1cd85694f_43.jpg,3,0.64285,0.63658,P02,P02,0.357782,correct
5,712fb2ae7c1ef52e8d7aeac27be129e5_26.jpg,4,0.92337,0.6282,P04,P04,0.709195,correct
5,712fb2ae7c1ef52e8d7aeac27be129e5_26.jpg,1,0.09238,0.59185,P03,P05,0.81051,wrong
5,712fb2ae7c1ef52e8d7aeac27be129e5_26.jpg,2,0.36649,0.61163,P03,P03,0.443696,correct
5,712fb2ae7c1ef52e8d7aeac27be129e5_26.jpg,3,0.65164,0.61671,P01,P01,0.772669,correct
5,87cb6437efb07deb909b39ddb76cf8ff_39.jpg,2,0.37208,0.61662,P01,P01,0.909629,correct
5,87cb6437efb07deb909b39ddb76cf8ff_39.jpg,4,0.91431,0.58073,P06,P06,0.927457,correct
5,9c23ffd986befeec42284ca320566eaa_9.jpg,3,0.62101,0.67219,P04,P04,0.793071,correct
5,9c23ffd986befeec42284ca320566eaa_9.jpg,1,0.10579,0.69709,P02,P02,0.28235,correct
5,9c23ffd986befeec42284ca320566eaa_9.jpg,4,0.88844,0.64033,P05,P05,0.708455,correct
5,9c23ffd986befeec42284ca320566eaa_9.jpg,2,0.36461,0.65946,P03,P03,0.91308,correct
5,a5476805a7e7b6820e5d5c84023d6343_22.jpg,1,0.10529,0.66775,P03,P03,0.962482,correct
5,a5476805a7e7b6820e5d5c84023d6343_22.jpg,3,0.62577,0.63777,P06,P05,0.661958,wrong
5,a5476805a7e7b6820e5d5c84023d6343_22.jpg,4,0.88936,0.62692,P06,P06,0.919961,correct
5,a5476805a7e7b6820e5d5c84023d6343_22.jpg,2,0.36269,0.67347,P04,P04,0.733093,correct
5,a7fcdc0caf12e04855fb9a385525a49d_46.jpg,3,0.63406,0.67663,P04,P04,0.810592,correct
5,b09cb44d47f1ad07941875d73edf001d_35.jpg,1,0.10721,0.67091,P01,P01,0.896608,correct
5,b09cb44d47f1ad07941875d73edf001d_35.jpg,3,0.62435,0.64221,P03,P05,0.498067,wrong
5,b09cb44d47f1ad07941875d73edf001d_35.jpg,2,0.37176,0.65946,P03,P03,0.961044,correct
5,ccb735b6ba95fa1b7ef3e896b2c415f0_11.jpg,1,0.0948,0.58036,P06,P06,0.876494,correct
5,ccb735b6ba95fa1b7ef3e896b2c415f0_11.jpg,2,0.38563,0.59501,P05,,,missed
5,ccb735b6ba95fa1b7ef3e896b2c415f0_11.jpg,3,0.65402,0.61415,P03,P03,0.97721,correct
5,ccb735b6ba95fa1b7ef3e896b2c415f0_11.jpg,4,0.91522,0.61927,P01,P01,0.94741,correct
